"tilltalsnamn","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"Jackson",..,..,..,..,..,..,..,..,..,11,10
"Jacob",321,255,239,264,195,196,200,158,165,161,152
"Jake ",..,..,..,..,..,..,..,..,12,10,..
"Jakob",292,221,241,231,197,167,175,138,155,124,107
"Jakub ",..,..,..,..,..,11,10,14,16,10,16
"Jamal",..,..,..,..,..,..,..,..,11,10,..
"James",14,17,31,37,30,33,52,51,48,67,58
"Jamie",30,21,28,22,28,44,62,51,82,86,114
"Jan",11,13,13,16,11,17,17,17,24,21,27
"Jason ",..,12,11,18,13,19,36,30,60,59,73
"Jasper ",10,..,..,..,..,11,16,12,15,12,15
"Jax",..,..,..,..,..,..,..,..,..,12,20
"Jayden",..,..,..,..,..,..,..,18,14,17,28
"Jens",38,29,25,24,21,..,20,14,11,..,..
"Jeremy",..,..,..,..,..,..,..,..,..,..,12
"Jerry",..,..,..,..,..,11,..,..,..,..,..
"Jesper",294,271,198,181,144,117,96,92,79,58,58
"Jesse ",..,..,10,..,..,..,..,..,..,11,..
"Jibril",..,..,..,..,..,..,..,..,..,12,..
"Jim",22,28,13,10,12,12,13,..,..,..,..
"Jimmie",..,10,..,..,..,..,..,..,..,..,..
"Jimmy",30,21,17,18,18,..,19,..,..,..,..
"Joachim",..,10,..,..,..,..,..,..,..,..,..
"Joacim",..,..,..,..,..,..,..,..,..,..,..
"Joakim",84,86,63,64,57,44,25,26,20,20,16
"Joar",40,50,44,23,34,36,31,39,27,33,30
"Joel",477,498,457,391,279,288,295,245,214,181,211
"Johan",290,264,194,158,145,109,112,87,76,76,56
"Johannes",214,240,163,157,125,123,137,121,116,110,82
"John",146,149,138,154,147,151,167,162,188,180,183
"Johnny",..,..,10,..,15,..,10,11,14,11,..
"Jonah ",10,11,22,23,24,23,23,17,21,24,15
"Jona ",..,..,..,..,..,10,..,17,10,..,11
"Jonas",101,90,92,75,64,80,71,67,57,65,51
"Jonatan",143,134,114,119,97,90,64,59,52,48,36
"Jonathan",602,541,483,444,373,358,313,317,270,258,212
"Jones",..,..,..,..,..,10,..,..,10,12,10
"Jon",18,13,19,18,20,19,21,21,24,32,27
"Jonny",..,..,..,..,..,..,..,..,..,..,..
"Jordan",25,34,24,17,13,11,12,..,..,14,22
"Josef",123,143,110,124,122,142,136,113,99,117,128
"Joseph",11,16,24,22,15,16,20,22,20,20,25
"Joshua",17,28,26,32,29,21,26,24,22,32,29
"Julian",37,45,73,78,101,99,130,118,147,158,164
"Julius",76,70,85,82,106,103,106,127,129,91,98
"Junior ",..,..,..,..,..,..,10,..,12,..,13
"Justin",13,14,..,15,14,15,20,21,18,12,17
"Kaan ",..,..,..,..,..,..,..,..,11,..,..
"Kacper",..,..,..,..,..,..,10,..,12,15,15
"Kalle",81,90,77,74,38,64,51,47,53,52,38
"Karam",..,..,..,..,..,..,..,..,..,..,10
"Karim",12,..,..,18,15,12,18,22,18,24,28
"Karl",223,200,156,164,167,148,116,118,114,102,105
"Kaspar",..,..,..,..,..,..,..,..,..,..,..
"Kasper",120,108,98,80,107,97,114,97,88,79,70
"Kaspian",..,..,..,..,..,..,..,..,..,10,11
"Kelian",..,..,..,..,..,..,..,..,..,15,..
"Kelvin",..,10,14,17,14,16,15,14,..,15,16
"Kenan",10,..,18,14,15,16,17,15,12,18,10
"Kenny",13,13,14,10,..,..,..,..,..,..,..
"Kerem",..,..,..,..,..,..,..,..,..,..,10
"Kerim",..,..,..,..,..,..,..,12,..,11,..
"Kevin",549,528,481,412,444,423,386,378,332,310,288
"Kewin",19,15,13,17,..,13,..,11,11,..,..
"Khaled",..,..,..,..,12,10,10,13,12,..,13
"Khalid",..,10,15,..,10,10,14,14,24,31,21
"Kian",13,20,28,33,44,49,60,57,70,89,73
"Kid",..,..,..,..,..,..,..,12,11,..,12
"Killian",..,..,..,..,..,..,..,..,..,..,10
"Kimi",..,10,10,13,14,10,..,..,..,..,..
"Kim",81,71,43,45,46,32,22,24,14,17,16
"Klas",11,12,..,10,13,..,..,..,..,19,..
"Knut",21,18,13,17,44,47,72,58,64,79,85
"Konrad",11,15,15,30,19,33,25,23,22,27,31
"Konstantinos",..,..,..,..,..,..,..,..,..,10,..
"Kristian",29,37,37,26,28,28,22,27,24,28,21
"Kristoffer",61,51,40,34,35,23,20,13,..,16,..
"Laban",11,12,..,13,..,..,..,..,..,..,..
"Lars",11,15,..,13,..,..,..,16,18,13,13
"Lasse",..,..,..,..,..,..,..,..,..,..,11
"Leandro",..,..,12,..,11,15,14,15,23,17,20
"Leart",..,..,..,..,..,..,..,..,11,10,..
"Lee ",..,..,..,..,..,..,..,10,..,11,..
"Lennon",..,..,..,12,..,10,11,15,14,23,20
"Lennox",..,..,..,..,..,17,28,22,35,63,51
"Leo",575,631,666,658,682,681,757,634,666,613,563
"Leonard",47,44,50,48,48,47,53,42,63,52,46
"Leonardo",21,36,28,36,25,40,33,31,29,45,28
"Leonel ",..,..,..,..,..,14,25,20,29,34,36
"Leonidas ",..,..,..,..,..,..,..,10,..,10,10
"Leon",147,236,273,262,301,359,371,358,381,378,395
"León",..,..,20,..,12,11,..,16,17,..,17
"Léon",11,27,18,14,23,22,31,38,28,30,25
"Leopold",19,22,18,19,25,22,24,19,16,19,33
"Levi",..,13,..,25,44,51,90,108,127,104,108
"Levin ",..,..,..,..,..,..,..,..,13,..,..
"Levis ",..,..,..,..,10,14,15,25,18,17,14
"Lewis",..,..,..,..,..,..,..,..,..,16,..
"Lex ",..,..,..,..,13,11,..,10,11,12,23
"Lexus",..,..,..,..,..,..,..,10,17,..,..
"Liam",537,670,643,745,744,680,782,746,720,706,725
"Lias ",..,..,12,10,15,14,20,22,21,11,10
"Linus",743,730,671,544,508,419,393,325,252,235,208
"Lionel",..,..,..,11,12,15,41,62,61,42,58
"Lion",..,..,..,11,..,10,21,22,38,43,47
"Loa",..,..,..,10,10,11,13,14,22,22,39
"Logan",..,..,..,..,..,..,..,..,..,..,12
"Loke",103,110,112,153,141,163,179,230,220,258,284
"Lo ",10,..,..,..,..,12,22,18,18,39,29
"Lorent",..,..,..,..,..,..,..,..,..,..,10
"Lorenzo",..,..,..,..,12,..,..,..,..,10,15
"Lorik",..,..,..,..,..,..,12,15,12,18,19
"Louie ",..,..,..,..,..,11,23,26,43,65,98
"Loui ",..,..,..,..,..,15,20,24,53,96,129
"Louis ",..,..,..,..,..,..,..,10,18,18,27
"Lou",..,..,..,..,..,..,..,..,..,10,..
"Love",139,141,161,180,155,219,278,249,247,223,242
"Lowe",43,41,74,59,43,50,79,67,76,71,77
"Luan",..,..,..,..,..,..,..,..,..,..,10
"Luca",..,..,..,14,19,19,11,..,14,14,16
"Lucas",559,587,607,574,589,611,624,578,506,538,520
"Ludvig",448,436,403,424,397,390,414,424,388,387,386
"Ludwig",214,176,211,174,179,165,162,141,174,192,193
"Luka",10,17,19,24,16,22,26,19,19,11,12
"Lukas",524,502,556,485,491,491,397,374,391,389,323
"Lukaz ",..,..,..,..,..,..,..,11,..,..,..
"Luke ",..,..,..,..,..,10,..,..,11,..,17
"Luqman",..,..,..,..,..,..,..,..,..,11,11
"Magnus",24,30,17,17,17,25,18,10,11,..,13
"Mahamed ",..,..,..,..,..,..,10,10,10,22,23
"Mahdi ",..,..,15,15,..,..,14,18,19,14,17
"Mahir",..,..,..,..,..,..,..,..,..,11,..
"Mahmoud",..,..,..,..,15,..,11,10,17,..,14
"Maksim",..,..,..,..,..,..,11,..,..,..,..
"Malcolm",26,23,22,26,26,24,25,19,28,33,32
"Malcom",..,..,..,..,..,..,11,..,..,10,..
"Malek",..,..,10,..,..,..,18,16,..,18,17
